stop_id,boardings,alightings,location
193,104.4,121.3,"{'latitude': '41.87410558', 'longitude': '-87.6667937'}"
194,32.9,3.5,"{'latitude': '41.874122', 'longitude': '-87.664252'}"
195,64.6,11.4,"{'latitude': '41.874138', 'longitude': '-87.661926'}"
196,12.4,4.7,"{'latitude': '41.874142', 'longitude': '-87.660176'}"
197,3.3,3.9,"{'latitude': '41.874128', 'longitude': '-87.658412'}"
198,62,70.1,"{'latitude': '41.874191', 'longitude': '-87.657167'}"
199,26.7,24.1,"{'latitude': '41.874231', 'longitude': '-87.654349'}"
200,266.2,352.9,"{'latitude': '41.874283', 'longitude': '-87.651938'}"
201,311.6,239.2,"{'latitude': '41.874341', 'longitude': '-87.649132'}"
202,226.3,642.4,"{'latitude': '41.87474629', 'longitude': '-87.6470399'}"
203,109.4,76.4,"{'latitude': '41.876549', 'longitude': '-87.647117'}"
204,234.8,225.9,"{'latitude': '41.877832', 'longitude': '-87.647165'}"
205,625.2,210.9,"{'latitude': '41.8755', 'longitude': '-87.647254'}"
206,414.8,575.3,"{'latitude': '41.874441', 'longitude': '-87.64775'}"
207,231.7,237.3,"{'latitude': '41.87447761', 'longitude': '-87.64986281'}"
208,367.2,195,"{'latitude': '41.874463', 'longitude': '-87.651583'}"
209,23,18.3,"{'latitude': '41.874376', 'longitude': '-87.65445'}"
210,87.1,74.1,"{'latitude': '41.87433', 'longitude': '-87.657447'}"
211,2.3,4.9,"{'latitude': '41.87432', 'longitude': '-87.658436'}"
212,3.2,7.7,"{'latitude': '41.874335', 'longitude': '-87.660199'}"
213,15.6,59.4,"{'latitude': '41.874271', 'longitude': '-87.661608'}"
214,4.2,31.1,"{'latitude': '41.874251', 'longitude': '-87.66414'}"
215,105.4,112,"{'latitude': '41.87427625', 'longitude': '-87.66636841'}"
216,8.6,11.8,"{'latitude': '41.874037', 'longitude': '-87.678729'}"
217,8.1,21.7,"{'latitude': '41.874009', 'longitude': '-87.681205'}"
218,13.9,46.6,"{'latitude': '41.87398752', 'longitude': '-87.68358895'}"
219,85.9,109.1,"{'latitude': '41.87396137', 'longitude': '-87.68600523'}"
220,10.7,14.4,"{'latitude': '41.873922', 'longitude': '-87.688543'}"
221,4.7,9.8,"{'latitude': '41.873913', 'longitude': '-87.690493'}"
222,10.4,75.5,"{'latitude': '41.87385', 'longitude': '-87.693579'}"
223,56.5,71.1,"{'latitude': '41.87385973', 'longitude': '-87.69597837'}"
224,7.9,18.8,"{'latitude': '41.873809', 'longitude': '-87.698405'}"
225,107.8,84.6,"{'latitude': '41.87385863', 'longitude': '-87.70085097'}"
226,15.7,18.7,"{'latitude': '41.87382263', 'longitude': '-87.70329197'}"
227,49.5,89.1,"{'latitude': '41.8737524', 'longitude': '-87.70571896'}"
228,48.7,32.6,"{'latitude': '41.87496738', 'longitude': '-87.70608349'}"
229,1.9,1.9,"{'latitude': '41.87460174', 'longitude': '-87.70823931'}"
230,85.2,85.3,"{'latitude': '41.87459474', 'longitude': '-87.71053731'}"
231,8.6,7.9,"{'latitude': '41.87437666', 'longitude': '-87.71239028'}"
233,52.2,50.3,"{'latitude': '41.87452996', 'longitude': '-87.71790509'}"
234,27.6,56.5,"{'latitude': '41.87450949', 'longitude': '-87.71961417'}"
235,7.9,17.8,"{'latitude': '41.874496', 'longitude': '-87.722588'}"
237,3.6,9.3,"{'latitude': '41.87439868', 'longitude': '-87.72774701'}"
239,7.6,37.6,"{'latitude': '41.87434644', 'longitude': '-87.73270301'}"
240,15.5,83.5,"{'latitude': '41.87377475', 'longitude': '-87.73569932'}"
241,4.7,9.8,"{'latitude': '41.87334431', 'longitude': '-87.73746946'}"
